date_month,date_label,All items,Transport,Housing expenses,Food and drink,Health,Clothing,Recreation,Houshold equipement and maintenance,Hospitality,Education,Information and Communication,Miscellaneous
2023-12-01,December 2023,159.77193959793226,269.1976016425957,175.89972482620828,192.74052508874192,105.07029580484743,102.12987808249382,129.3030096128329,108.80252270366014,104.75992557054833,102.39594993741784,101.59323302166781,114.13761679591184
2024-01-01,January 2024,178.00850033197014,379.25393153792896,131.6552807211957,224.6936611520446,112.69251977859368,103.22995297219569,129.3030096128329,112.00539310982911,104.75992557054833,102.39594993741784,101.59323302166781,118.95746841037086
2024-02-01,February 2024,226.52387479166921,402.2938521378582,134.59865472998396,288.2442572213286,120.46042941214998,104.91073484906023,129.3030096128329,116.21020559225757,104.75992557054833,102.39594993741784,101.59323302166781,122.98539137365178
2024-03-01,March 2024,283.82776216070505,454.3272916901572,156.56637951864377,322.7632373915773,128.31774313699157,106.52525284278914,129.3030096128329,121.6259562069984,104.75992557054833,102.39594993741784,101.59323302166781,123.02328124884532
2024-04-01,April 2024,268.44360300320756,443.7391178650627,139.94565413714966,255.99823535189506,136.36859334295647,108.2411713661905,129.3030096128329,125.56434350010076,104.75992557054833,102.39594993741784,101.59323302166781,121.21433104388346
2024-05-01,May 2024,365.68811681400274,482.1864820161794,261.2443603076323,263.50570793532836,144.3571559013502,109.76561888708248,129.3030096128329,124.92261569117791,104.75992557054833,102.39594993741784,101.59323302166781,119.59478166371258
2024-06-01,June 2024,372.6837165420455,386.61817649656143,380.26044781401794,243.82807395671577,152.30671552030537,111.25791966085978,129.3030096128329,140.39866113095025,104.75992557054833,102.39594993741784,101.59323302166781,127.0473409547618
2024-07-01,July 2024,361.91860403874426,426.69828710864556,219.76222364547502,233.5093690467285,160.22836900245403,112.87512822645925,129.3030096128329,155.91156691126034,104.75992557054833,102.39594993741784,101.59323302166781,130.29187765471778
2024-08-01,August 2024,369.02611196798364,435.9956118754866,188.75914545890802,255.8227670468281,168.12872442393615,114.46969688128569,129.3030096128329,196.8159686833079,104.75992557054833,102.39594993741784,101.59323302166781,135.39137077756206
2024-09-01,September 2024,411.00492159327854,421.90212554404513,192.04527495927556,452.8458969120399,176.01219270037762,116.04491095128998,129.3030096128329,164.00281996930534,104.75992557054833,102.39594993741784,101.59323302166781,136.48319150552666
2024-10-01,October 2024,492.5530424394671,410.45327329304786,329.0523778905688,660.5391104797737,183.88192325587295,117.60337711651994,129.3030096128329,164.45243064050382,104.75992557054833,102.39594993741784,101.59323302166781,134.30531091180654
2024-11-01,November 2024,633.4728215908848,421.9554522556417,328.04196824719213,710.9803776059106,183.88192325587295,208.91637219587608,129.3030096128329,153.0140562088096,104.75992557054833,102.39594993741784,101.59323302166781,133.97861958091372
2024-12-01,December 2024,668.5135517903774,407.6456124706191,320.76418769214496,638.1247539650341,183.88192325587295,185.52428771844484,132.2039984046443,148.15403443064312,104.75992557054833,102.39594993741784,99.78153946753449,129.56258711330096
2025-01-01,January 2025,312.36530010826243,334.0711752259303,312.24590033230965,359.0245836425828,183.88192325587295,180.22496192269102,132.2039984046443,132.6725343179973,104.75992557054833,102.39594993741784,99.78153946753449,123.88636364085623
2025-02-01,February 2025,208.3681534089459,395.28495999665023,157.05586312171414,213.25509121996885,183.88192325587295,171.03870676958906,132.2039984046443,117.61242446463542,104.75992557054833,102.39594993741784,99.78153946753449,119.1761976033631
2025-03-01,March 2025,292.92798184765013,328.6872722524186,482.9309608646653,304.9009775705056,183.88192325587295,170.84262162254691,132.2039984046443,122.39001202935523,104.75992557054833,102.39594993741784,99.78153946753449,117.23664472580265
2025-04-01,April 2025,514.3537496156665,506.5524243395949,1018.1343542838904,489.02731415258484,183.88192325587295,171.00267888101658,132.2039984046443,167.00532434201773,104.75992557054833,102.39594993741784,99.78153946753449,138.4580688473587
2025-05-01,May 2025,736.5869671027945,401.13211671812905,1105.0497685705739,726.3791964128726,183.88192325587295,171.25848637907276,132.2039984046443,165.67560467731334,104.75992557054833,102.39594993741784,99.78153946753449,145.59283547828716
2025-06-01,June 2025,777.4262875391338,565.9123592825739,1099.8331799102766,1388.375713113966,183.88192325587295,171.25848637907276,132.2039984046443,165.67560467731334,104.75992557054833,102.39594993741784,100.2155213442522,152.9502591531161
2025-07-01,July 2025,824.6973292459601,629.2003041019454,1101.790562852499,1468.4679146612573,183.88192325587295,171.25848637907276,132.2039984046443,162.18496276174122,104.75992557054833,102.39594993741784,100.2155213442522,169.88026380724227
2025-08-01,August 2025,656.9571147917211,755.2308619343304,1104.533636406913,975.4180683598613,183.88192325587295,171.25848637907276,132.2039984046443,155.15354279299228,104.75992557054833,102.39594993741784,100.2155213442522,178.9784097481016
2025-09-01,September 2025,568.3676978155942,706.3407362739092,1405.6771499113297,823.8750272981221,183.88192325587295,171.25848637907276,132.2039984046443,186.64869844325963,104.75992557054833,102.39594993741784,100.42400713168996,151.6349803452971
2025-10-01,October 2025,338.6205256838715,564.7416343618478,300.66012867937485,573.8898465955292,183.88192325587295,158.1712424879591,132.2039984046443,148.74012242900275,104.75992557054833,102.39594993741784,100.42400713168996,122.26260760734586
2025-11-01,November 2025,221.12784299251365,404.6914349189665,308.2560180103382,256.90116956666236,183.88192325587295,132.92557518503236,132.2039984046443,119.19604863355114,104.75992557054833,102.39594993741784,100.42400713168996,118.15979317400145
