code_good_service,name_good_service,date_month,cpi_index,pct_change
011116,Maize (corn),2023-12-01,108.24400200507644,0.0
011116,Maize (corn),2024-01-01,108.24400200507644,0.0
011116,Maize (corn),2024-02-01,144.68317617159767,33.663919932313945
011116,Maize (corn),2024-03-01,180.98312589459258,25.08926793253579
011116,Maize (corn),2024-04-01,162.84489150892088,-10.02205829743248
011116,Maize (corn),2024-05-01,144.68317617159772,-11.152769466107713
011116,Maize (corn),2024-06-01,126.48824523491902,-12.575706048296226
011116,Maize (corn),2024-07-01,162.8448915089209,28.74310273375906
011116,Maize (corn),2024-08-01,162.8448915089209,0.0
011116,Maize (corn),2024-09-01,162.8448915089209,0.0
011116,Maize (corn),2024-10-01,209.71875874715855,28.78436455936958
011116,Maize (corn),2024-11-01,475.06184777134126,126.52329749103944
011116,Maize (corn),2024-12-01,750.4774506564986,57.97468354430379
011116,Maize (corn),2025-01-01,288.6451733294225,-61.53846153846154
011116,Maize (corn),2025-02-01,216.48387999706688,-25.0
011116,Maize (corn),2025-03-01,204.45699777500764,-5.555555555555543
011116,Maize (corn),2025-04-01,613.3709933250229,200.0
011116,Maize (corn),2025-05-01,721.6129333235565,17.647058823529434
011116,Maize (corn),2025-06-01,3247.258199956005,350.0000000000001
011116,Maize (corn),2025-07-01,2209.939608303392,-31.944444444444443
011116,Maize (corn),2025-08-01,1315.5549783402225,-40.4709986916703
011116,Maize (corn),2025-09-01,589.3172288809045,-55.20390720390721
011116,Maize (corn),2025-10-01,448.4308942796387,-23.906705539358597
011116,Maize (corn),2025-11-01,144.32258666471134,-67.81609195402298
011116,Maize (corn),2025-12-01,144.32258666471134,0.0
011119,Other cereals,2022-12-01,94.53321883976875,
011119,Other cereals,2023-01-01,98.2142313515005,3.8938825493406455
011119,Other cereals,2023-02-01,98.3788228969689,0.16758421178224125
011119,Other cereals,2023-03-01,99.33840614255344,0.9753961445437369
011119,Other cereals,2023-04-01,99.72140487389827,0.38554950317524117
011119,Other cereals,2023-05-01,97.78435828750114,-1.9424581802137624
011119,Other cereals,2023-06-01,99.01978970316244,1.2634243730771004
011119,Other cereals,2023-07-01,100.54477505704466,1.540081390249128
011119,Other cereals,2023-08-01,101.27350030370043,0.7247768431948032
011119,Other cereals,2023-09-01,101.940498464846,0.6586107512284798
011119,Other cereals,2023-10-01,101.61691433591872,-0.317424511161164
011119,Other cereals,2023-11-01,104.00848165211232,2.3535130266676845
011119,Other cereals,2023-12-01,104.00848165211232,0.0
011119,Other cereals,2024-01-01,312.76698142748927,200.71295769284723
011119,Other cereals,2024-02-01,322.8796434313813,3.2332895108483513
011119,Other cereals,2024-03-01,437.69036218343234,35.558363956274235
011119,Other cereals,2024-04-01,212.30894569800273,-51.49334688593718
011119,Other cereals,2024-05-01,186.90962447998766,-11.963377772194377
011119,Other cereals,2024-06-01,166.17321355833656,-11.094351604066986
011119,Other cereals,2024-07-01,203.05360665155672,22.19394588543176
011119,Other cereals,2024-08-01,178.708456901903,-11.989518507509402
011119,Other cereals,2024-09-01,172.07259498989777,-3.7132332890366797
011119,Other cereals,2024-10-01,502.0523687069169,191.7677673986331
011119,Other cereals,2024-11-01,789.8977895646499,57.33374420662648
011119,Other cereals,2024-12-01,933.2348683050228,18.146281789112592
011119,Other cereals,2025-01-01,361.0919011635372,-61.30750002736543
011119,Other cereals,2025-02-01,182.50349230186663,-49.45788268477075
011119,Other cereals,2025-03-01,223.14546944424205,22.26915037612119
011119,Other cereals,2025-04-01,582.7834993148189,161.1675248286591
011119,Other cereals,2025-05-01,1063.4212497209492,82.47277950923768
011119,Other cereals,2025-06-01,1027.9738747302508,-3.3333333333333286
011119,Other cereals,2025-07-01,1125.454155954671,9.482758620689637
011119,Other cereals,2025-08-01,1027.9738747302506,-8.661417322834652
011119,Other cereals,2025-09-01,483.373295327704,-52.978056426332294
011119,Other cereals,2025-10-01,245.55363402647356,-49.20000000000001
011119,Other cereals,2025-11-01,138.2925199099546,-43.681338515623416
011119,Other cereals,2025-12-01,115.80890865738664,-16.25800966473642
011119.1,Semolina,2022-12-01,92.77114684041462,
011119.1,Semolina,2023-01-01,96.8111899723202,4.354848753627323
011119.1,Semolina,2023-02-01,97.37074592945748,0.5779868600905331
011119.1,Semolina,2023-03-01,98.72483957651741,1.390657567767775
011119.1,Semolina,2023-04-01,100.03233981544007,1.3243883145631798
011119.1,Semolina,2023-05-01,97.12740485498212,-2.9039958135714556
011119.1,Semolina,2023-06-01,99.06889364043239,1.9989093586398639
011119.1,Semolina,2023-07-01,100.8228228748569,1.7704136686842702
011119.1,Semolina,2023-08-01,101.67445557851059,0.844682463127171
011119.1,Semolina,2023-09-01,101.8992653542702,0.22110743006243183
011119.1,Semolina,2023-10-01,101.60147469310553,-0.29224024346922306
011119.1,Semolina,2023-11-01,101.60147469310553,0.0
011119.1,Semolina,2023-12-01,101.60147469310553,0.0
011119.1,Semolina,2024-01-01,332.8266711036917,227.58055147232687
011119.1,Semolina,2024-02-01,345.50694383497205,3.809872775289037
011119.1,Semolina,2024-03-01,489.46817043287706,41.666666666666686
011119.1,Semolina,2024-04-01,221.70028896077372,-54.705882352941174
011119.1,Semolina,2024-05-01,195.78726817315084,-11.688311688311686
011119.1,Semolina,2024-06-01,172.75347191748602,-11.764705882352942
011119.1,Semolina,2024-07-01,213.06261536489944,23.333333333333343
011119.1,Semolina,2024-08-01,182.5362180235604,-14.327430126143128
011119.1,Semolina,2024-09-01,174.21550693690912,-4.558389111347367
011119.1,Semolina,2024-10-01,587.9773359120682,237.4999999999999
