code_good_service,name_good_service,short_name_good_service,date_month,cpi_index,pct_change
03,Clothing and Footwear,Clothing,2025-04-01,171.00267888101658,0.0936869599339758
03,Clothing and Footwear,Clothing,2025-05-01,171.25848637907276,0.14959268458838437
03,Clothing and Footwear,Clothing,2025-06-01,171.25848637907276,0.0
03,Clothing and Footwear,Clothing,2025-07-01,171.25848637907276,0.0
03,Clothing and Footwear,Clothing,2025-08-01,171.25848637907276,0.0
03,Clothing and Footwear,Clothing,2025-09-01,171.25848637907276,0.0
03,Clothing and Footwear,Clothing,2025-10-01,158.1712424879591,-7.641807520209923
03,Clothing and Footwear,Clothing,2025-11-01,132.92557518503236,-15.960971732803188
03,Clothing and Footwear,Clothing,2025-12-01,153.2033381017059,15.254974739396005
03,Clothing and Footwear,Clothing,2026-01-01,172.94659981184742,12.886965750729743
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2022-12-01,108.02790198448949,
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-01-01,108.14102650910885,0.10471787616093309
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-02-01,108.25308564730075,0.10362315007472489
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-03-01,106.64842254072954,-1.4823255124563985
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-04-01,106.9208615586604,0.2554552720428944
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-05-01,106.86090181264959,-0.056078622204069006
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-06-01,106.41926921991234,-0.41327799526858655
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-07-01,106.89408691341347,0.44617642742869634
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-08-01,107.48765944720246,0.555290335441839
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-09-01,106.99963083823404,-0.4540322223763269
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-10-01,107.05454287548001,0.051319838036633314
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-11-01,198.4433732997668,85.36660656296041
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2023-12-01,175.89972482620828,-11.36024252092524
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-01-01,131.6552807211957,-25.15321962483273
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-02-01,134.59865472998396,
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-03-01,156.56637951864377,16.32090962032933
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-04-01,139.94565413714966,-10.615769127825388
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-05-01,261.2443603076323,86.67557911559538
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-06-01,380.26044781401794,45.557380594259115
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-07-01,219.76222364547502,-42.20744626247356
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-08-01,188.75914545890802,-14.107555735594403
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-09-01,192.04527495927556,1.740911409817187
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-10-01,329.0523778905688,71.34104338695471
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-11-01,328.04196824719213,-0.3070665071178098
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2024-12-01,320.76418769214496,-2.2185516670120364
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-01-01,312.24590033230965,-2.655622942549556
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-02-01,157.05586312171414,-49.70122491454124
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-03-01,482.9309608646653,207.48992827501547
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-04-01,1018.1343542838904,110.82399696655781
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-05-01,1105.0497685705739,8.536733282889358
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-06-01,1099.8331799102766,-0.4720682098368343
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-07-01,1101.790562852499,0.17797089394795762
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-08-01,1104.533636406913,0.24896506168217059
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-09-01,1405.6771499113297,27.26431351462027
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-10-01,300.66012867937485,-78.61101116295868
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-11-01,308.2560180103382,2.5264039380039236
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2025-12-01,292.9236219480463,-4.973916214598518
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses,2026-01-01,289.69944194067057,-1.1006896562092692
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2022-12-01,100.72522114172789,
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-01-01,100.00206755716056,-0.7179468819927308
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-02-01,100.76855833694032,0.7664749324724198
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-03-01,101.16863707764296,0.39702735387450616
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-04-01,101.22661553398892,0.057308725333001576
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-05-01,101.4550413359669,0.2256578477636424
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-06-01,101.00315785459733,-0.44540268814553485
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-07-01,101.8344057902345,0.8229920264808186
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-08-01,102.57502679548271,0.7272797435218479
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-09-01,103.33901744412925,0.7448115516165643
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-10-01,102.97162398876254,-0.35552249716845097
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-11-01,104.06288832057128,1.059771895923305
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2023-12-01,108.80252270366014,4.5545866154398595
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-01-01,112.00539310982911,2.9437464560380278
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-02-01,116.21020559225757,
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-03-01,121.6259562069984,4.660305510294748
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-04-01,125.56434350010076,3.2381141459636495
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-05-01,124.92261569117791,-0.5110748728776855
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-06-01,140.39866113095025,12.388505759462149
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-07-01,155.91156691126034,11.049183557271363
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-08-01,196.8159686833079,26.235642795719542
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-09-01,164.00281996930534,-16.671995130030055
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-10-01,164.45243064050382,0.27414813433246366
